age_group,Number,persons,GMT,lower,upper,group,age_label,group_label
1,555,555,6.512120244,6.390532315,6.633708173,1,M,All
2,557,554,6.894310722,6.773936047,7.014685398,1,0m,All
3,329,328,3.41001432,3.318960026,3.501068614,1,6m,All
4,1298,774,7.271845721,7.194864214,7.348827228,1,1-2y,All
5,1898,1004,6.965465735,6.918069165,7.012862305,1,3-4y,All
6,1575,820,6.748965178,6.702393844,6.795536512,1,5-6y,All
7,1176,478,6.547700803,6.496573207,6.5988284,1,7-11y,All
2,302,301,6.913801846,6.757784942,7.06981875,2,0m,Boys
3,176,175,3.513520719,3.388668748,3.63837269,2,6m,Boys
4,649,390,7.064282872,6.96796999,7.160595755,2,1-2y,Boys
5,968,509,6.892464351,6.826467397,6.958461305,2,3-4y,Boys
6,774,408,6.708770778,6.646364153,6.771177403,2,5-6y,Boys
7,590,235,6.521733049,6.457123313,6.586342785,2,7-11y,Boys
2,255,253,6.871227117,6.683860854,7.05859338,3,0m,Girls
3,153,153,3.290948135,3.159964125,3.421932145,3,6m,Girls
4,649,384,7.47940857,7.361358112,7.597459029,3,1-2y,Girls
5,930,495,7.041449971,6.973656444,7.109243499,3,3-4y,Girls
6,801,412,6.78780471,6.71895923,6.85665019,3,5-6y,Girls
7,586,243,6.573845812,6.494498157,6.653193467,3,7-11y,Girls
